date,PI_CA,SI_CA,II_CA,PI_I,SI_I,II_I,PI_CO,SI_CO,II_CO,PI_W,SI_W,II_W,PI_MM,SI_MM,II_MM,PI_MQ,SI_MQ,II_MQ,PI_MF,SI_MF,II_MF,SI_E,Unemployment,Act_pop_total,Employed_total,Unemployed_3mts,Unemployed_3_6mts,Unemployed_6_12mts,Unemployed_ov6,Unemployed_ov12,HousePrice,HousePrice_S,HousePrice_P,BSI_BC,BSI_SG,BSI_P,BSI_FS,BSI_HR,PI_P,PI_C,PI_SI,PI_PA,MB,Currency_cir,CBLIAB_DC,M1,M2,CD,CP,YT_1,YT_3,YT_5,YT_10,CB_3_AA,BaseRate,CB_3_BBB,FX_US,FX_CH,FX_JP,FX_EU,FX_BR,FX_CA,FX_SW,CPI,CPI_F,CPI_C,CPI_H,CPI_HE,CPI_T,CPI_E,CPI_M,SPI_R,SPI_I,SPI_F,SPI_RI,IPI_A,IPI_B,IPI_C,IPI_L,IPI_M,EPI_A,EPI_M,KOSPI,KOSDAQ,Expected_inf,Oilprice,TB_spread,USCPI,IR_House,USB_10,LeadingCI,LaggingCI,VKOSPI
14-Jan,113.888,114.181,79.332,86.853,93.599,86.182,110.639,118.898,81.143,95.903,97.475,84.115,96.593,97.664,84.115,118.236,134.708,96.548,97.565,84.113,94.384,92.164,3.2,25941.3,25050.3,634.7,205.4,50.9,50.9,0,83.52825099,77.59323008,89.32168985,74,84,84,84,92,95.9,84.3728,91.3,87,97146.1,53544.9,43601.2,515742.5,1937045.6,2.65,2.83,2.657,2.892,3.258,3.647,3.319,2.5,9.019,1064.75,176.3572276,1022.75,1451.18,1753.41,976.67,1178.01,93.73,85.705,93.172,89.865,95.224,110.321,94.986,86.312,148.87,108.56,99.9,112.52,102.53,131.01,193.53,153.14,109.93,100.69,108.31,1941.15,515.2,2.9,94.62,0.99,235.288,3.75,2.86,78.9,82.5,14.43
14-Feb,115.408,114.894,81.035,87.366,92.393,84.1,112.095,117.841,83.645,95.3,96.32,83.624,95.826,96.419,83.624,114.224,123.684,95.784,96.411,83.621,93.316,92.859,3.6,26292,25116.4,879.4,239.9,55.8,56.2,0.4,83.69722483,77.78613792,89.46383808,76,87,85,85,93,95.3,79.9803,90.9,88,99074.9,55119.1,43955.8,518475.5,1954340.7,2.65,2.78,2.64,2.854,3.161,3.522,3.28,2.5,8.974,1071.3,176.15534,1048.64,1462.63,1773.12,968.93,1197.27,93.98,86.581,93.18,90.473,95.205,110.13,95.185,86.941,147.45,108.53,100.19,112.34,104.71,131.33,196.52,155.54,110.53,102.85,109.03,1979.99,528.96,2.9,100.82,0.882,235.547,3.71,2.71,79.2,82.7,13.49
14-Mar,110.294,113.228,81.098,87.861,93.599,85.716,112.215,118.781,83.78,96.07,97.297,84.448,96.293,97.575,84.448,117.076,129.068,96.272,97.476,84.511,94.222,91.99,3.4,26488.2,25462.5,717.2,240.7,66.1,67.9,1.7,83.89101222,78.01656372,89.61706242,80,89,87,87,91,96.1,79.2768,91,87.9,99744,55030.8,44713.1,520299,1964954,2.65,2.77,2.659,2.874,3.169,3.543,3.303,2.5,8.994,1070.89,173.4185037,1047.1,1480.5,1779.78,963.86,1216.33,94.153,86.81,93.31,90.681,95.26,110.05,95.9,87.724,148.55,108.26,100.39,112.22,108.01,129.1,195.29,155.25,109.86,100.35,108.58,1985.61,541.58,2.8,100.8,0.884,236.028,3.69,2.72,79.4,83,13.82
14-Apr,113.985,116.085,79.777,88.549,92.876,86.865,109.685,117.019,84.558,96.346,96.587,85.385,96.317,96.953,85.385,124.485,131.246,96.25,96.855,85.45,93.84,89.123,3.6,27018.1,25985,663.5,310.7,58,58.8,0.8,83.94517369,78.00001351,89.74662846,79,86,87,85,91,96.3,84.565,90.3,88.8,99664.3,55811.6,43852.7,518809.3,1970361.6,2.65,2.76,2.653,2.875,3.168,3.54,3.303,2.5,8.998,1044.55,167.5019625,1018.6,1442.03,1748.4,949.94,1182.74,94.214,86.733,93.277,90.297,95.15,109.879,95.936,87.783,144.46,107.38,100.14,111.01,107.56,121.35,190.99,152.1,107.14,98.35,105.67,1961.79,559.34,2.9,102.07,0.887,236.468,3.69,2.71,79.6,83.4,11.6
14-May,112.672,116.205,79.264,85.787,91.589,85.336,104.818,112.907,84.39,93.176,95.61,84.236,92.832,95.62,84.236,116.787,122.66,92.786,95.523,84.234,96.936,95.812,3.5,27066.3,26111.5,558,334.4,58.8,62.4,3.6,83.96268943,77.94610705,89.84068636,79,87,88,88,92,93.2,81.0288,90.9,86,101986.9,56577.4,45409.5,523069.9,1982390.9,2.65,2.76,2.641,2.838,3.082,3.402,3.264,2.5,8.957,1024.99,164.2824154,1006.99,1406.72,1726.5,941.72,1152.26,94.369,86.741,93.74,91.03,95.196,109.749,95.973,88.174,141.75,107.05,99.83,110.41,105.67,117.28,189.18,147.2,105.2,95.84,103.98,1994.96,546.53,2.8,102.18,0.761,236.918,3.63,2.56,79.7,83.6,10.86
14-Jun,113.625,115.49,79.82,87.84,93.599,85.293,108.371,113.259,85.718,95.555,97.652,84.516,95.392,97.753,84.516,120.604,125.736,95.331,97.654,84.512,96.343,96.333,3.5,27130.7,26178.2,538.5,339.2,73.1,74.7,1.6,83.97818355,77.9080383,89.9136524,76,86,87,88,92,95.6,82.0122,91.7,87.5,102060.9,57439.4,44621.4,532041.2,1999376.3,2.65,2.74,2.602,2.746,2.972,3.286,3.168,2.5,8.863,1019.36,163.5064853,998.99,1385.45,1724.05,941.73,1137.46,94.248,86.36,94.316,90.498,95.114,109.337,95.999,88.293,141.78,106.94,99.88,110.33,103.77,116.63,192.26,145.71,104.82,100.97,103.86,2002.21,537.06,2.8,105.79,0.684,237.231,3.58,2.6,79.9,83.7,11.48
14-Jul,118.231,119.062,81.559,88.119,92.795,86.125,110.038,116.197,87.014,96.236,97.12,85.533,96.244,97.308,85.533,130.685,137.656,96.238,97.21,85.597,93.045,93.467,3.5,27193.9,26280.4,551.1,283.1,77.6,79.3,1.7,84.00824419,77.88658867,89.99626715,73,83,85,84,93,96.2,80.4242,91.9,87.1,102982.2,58272.4,44709.8,534028.8,2013935.1,2.65,2.73,2.488,2.558,2.765,3.056,2.97,2.5,8.668,1019.93,164.7244613,1003.01,1381.96,1742.33,950.94,1137.35,94.386,86.635,94.251,90.505,95.187,109.307,96.009,88.293,143.31,107.01,100.09,110.56,103.11,115.49,189.16,144.9,105.05,101.63,104.19,2076.12,536.32,2.8,103.59,0.568,237.498,3.53,2.54,80.1,83.9,12.69
14-Aug,108.386,113.704,78.089,85.576,91.83,84.967,102.881,114.082,85.424,92.519,95.61,84.488,92.788,95.887,84.488,117.899,122.532,92.701,95.879,84.485,89.366,88.429,3.6,27076.5,26183,521.9,279.7,88.8,91.9,3,84.08544688,77.94820804,90.08968088,71,82,84,83,92,92.5,80.579,92.3,89.5,107125.5,59296.8,47828.7,538640.3,2031777.2,2.52,2.59,2.389,2.54,2.773,3.086,2.926,2.25,8.65,1025.36,166.4817347,996.02,1365.89,1713.77,938.36,1126.81,94.551,87.336,94.276,90.897,94.802,108.845,96.045,88.378,141.6,107,100.2,110.36,103.09,114.31,182.66,144.32,104.93,101.78,104.36,2068.54,570.2,2.8,96.54,0.697,237.46,3.5,2.42,80.5,84.2,10.86
14-Sep,114.895,117.156,82.674,84.563,91.106,85.166,104.763,113.142,87.151,92.095,95.255,85.473,91.873,95.353,85.473,120.212,132.016,91.78,95.257,85.537,94.573,92.512,3.5,27064.3,26213.2,503.2,264,81.4,83.8,2.5,84.28660291,78.18773574,90.2481786,73,84,87,85,92,92.1,78.768,91.7,83.6,104029.6,60344.1,43685.5,548550.8,2037600.8,2.35,2.43,2.277,2.405,2.649,3.012,2.786,2.25,8.533,1033.24,168.7606476,962.48,1334.3,1688.86,939.06,1104.45,94.49,87.914,94.308,91.595,94.811,107.862,96.162,88.378,139.01,106.62,100.02,109.75,102.98,114.78,174.48,145.02,104.39,98.94,104.1,2020.09,573.22,2.8,93.21,0.735,237.477,3.5,2.53,80.8,84.5,12.69
14-Oct,113.123,115.133,79.262,84.002,90.382,85.413,103.487,109.853,87.541,92.237,94.545,85.665,91.879,94.464,85.665,116.569,128.428,91.803,94.369,85.663,97.24,97.202,3.6,27107.7,26246.6,524.9,266.8,66.1,69.3,3.2,84.48930318,78.39872289,90.44056797,76,86,87,87,92,92.2,80.0594,92.3,91.6,108167,60986.4,47180.6,551416,2051149.8,2.21,2.32,2.134,2.239,2.42,2.769,2.595,2,8.348,1060.28,173.1146536,982.7,1344.64,1704.51,944.99,1113.32,94.205,86.201,94.373,91.504,95.104,106.988,96.136,88.386,137.91,106.07,99.96,109.14,105.44,118.08,160.86,149.26,104.87,99.49,104.85,1964.43,558.7,2.7,84.4,0.635,237.43,3.38,2.3,81.1,84.7,13.99
14-Nov,113.248,118.228,78.255,84.592,92.072,85.008,106.861,111.966,85.679,92.569,96.232,84.719,92.504,96.419,84.719,112.798,131.118,92.417,96.411,84.782,93.007,91.99,3.5,27081.6,26260,496.6,246.1,74,78.9,4.9,84.63482565,78.51961977,90.61151752,71,84,84,83,92,92.6,78.7302,92.3,89.4,107791.3,62005.7,45785.6,562006.2,2083253.5,2.14,2.24,2.047,2.138,2.325,2.692,2.466,2,8.256,1095.1,179.2476242,942.9,1366.24,1728.83,967.06,1135.88,94.015,85.911,95.298,91.479,95.123,105.554,96.154,88.072,133.52,105.64,100.4,108.3,107.22,119.95,147.51,150.58,105.47,100.78,106.08,1980.78,545.08,2.7,75.79,0.645,236.983,3.3,2.33,81.4,84.9,11.59
14-Dec,112.911,117.752,78.387,87.579,94.082,84.475,109.164,114.199,83.345,94.766,98.185,83.472,94.836,98.019,83.472,100.52,118.558,94.827,98.01,83.535,97.83,100.329,3.6,26567.8,25679.4,535,280.3,70.7,73,2.3,84.75409785,78.57933102,90.7939525,72,83,84,86,92,94.8,78.5841,91.6,86.5,110204.9,63642.7,46562.2,577721.1,2088729.8,2.13,2.3,2.072,2.143,2.337,2.681,2.46,2,8.286,1104.33,178.1690997,925.1,1361.42,1726.81,957.5,1132.13,94.006,86.422,95.216,91.645,95.123,103.928,96.235,88.446,126.19,103.87,100.28,105.96,107.25,116.58,116.23,148.09,103.33,101.35,103.36,1915.59,542.97,2.6,59.29,0.609,236.252,3.33,2.21,81.7,84.9,12.97
15-Jan,109.617,109.361,82.929,85.073,92.467,83.759,101.316,108.492,84.092,93.039,95.726,83.539,92.461,95.719,83.539,110.815,125.415,92.42,95.623,83.539,93.835,94.817,3.5,26380,25391.9,651.6,270.3,64.8,66.2,1.3,84.87587443,78.67927158,90.93835035,72,83,84,85,93,93,82.4441,92.1,86.9,112857.8,64716.4,48141.3,579964.2,2092223.5,2.13,2.26,1.995,2.039,2.158,2.415,2.356,2,8.209,1088.86,174.9929842,919.93,1267.5,1651.09,902.29,1158.55,94.643,87.795,95.013,92.209,96.143,100.439,96.691,89.991,112.61,101.42,99.52,102.47,103.71,113.6,87.09,136.65,98.51,99.67,98.91,1949.26,591.58,2.6,47.22,0.42,234.747,3.34,1.88,82.2,85.1,13.67
15-Feb,113.537,115.859,82.783,85.845,93.691,84.675,106.108,111.62,85.886,94.561,96.788,84.66,94.558,97.073,84.66,111.333,126.999,94.395,96.975,84.66,89.919,92.871,3.6,26670.9,25470.7,838.9,294.9,64.4,66.5,2,85.04719145,78.87074506,91.08678173,72,85,85,86,95,94.6,83.9221,93.6,87.3,113657.3,65307.5,48349.8,592737.4,2109892.3,2.12,2.24,1.981,2.024,2.116,2.346,2.3,2,8.191,1098.4,176.1816086,926.37,1246.77,1680.78,877.36,1176.82,94.587,88.385,94.831,93.104,96.336,98.159,96.818,90.118,101.89,101.1,99.96,101.17,102.66,108.09,106.9,124.93,99.98,98.67,100.23,1985.8,624.56,2.6,50.58,0.365,235.342,3.24,1.98,82.5,85.4,11.11
15-Mar,108.138,112.004,83.017,85.703,92.655,86.281,104.199,108.492,84.714,93.533,95.34,85.123,93.37,95.333,85.123,114.903,127.923,93.263,95.236,85.123,94.911,95.002,3.5,26840.2,25766.1,692.9,298.3,80.4,82.9,2.5,85.30643508,79.17046183,91.30074339,78,91,89,88,93,93.5,77.9945,93.4,88.1,115254.7,67040.2,48214.6,600719.9,2127887.8,1.95,2,1.838,1.865,1.969,2.276,2.128,1.75,8.027,1112.57,178.3893251,924.4,1206.7,1668.57,882.7,1136.61,94.596,87.549,94.889,93.393,96.394,99.589,97.286,90.515,106.43,101.29,99.9,101.76,102.66,110.35,106.33,123.43,100.49,98.2,101.17,2041.03,650.49,2.5,47.82,0.438,235.976,2.97,2.04,82.9,85.7,11.09
15-Apr,107.03,111.454,85.677,87.813,93.691,87.078,106.088,112.626,86.513,94.344,96.595,86.79,94.571,96.686,86.79,114.77,128.847,94.496,96.589,86.79,94.725,93.983,3.6,27203.8,26153.2,636.8,339.9,73.9,73.9,0,85.67170728,79.60770887,91.58636002,77,88,88,88,91,94.3,79.7677,93.9,89,116249.8,67642,48607.8,610803.3,2148114.7,1.81,1.88,1.703,1.739,1.857,2.177,1.988,1.75,7.888,1088.66,174.9188363,910.67,1175.28,1625.86,880.57,1131.84,94.625,87.461,94.498,92.787,96.346,99.559,97.52,90.163,102.86,100.7,99.66,100.9,99.11,104.64,109.8,99.31,98.5,95.68,99.31,2127.17,689.01,2.5,54.45,0.474,236.222,2.81,1.94,83.3,85.9,11.76
15-May,103.302,109.251,81.866,86.251,92.09,88.215,105.411,113.52,84.74,91.908,94.858,86.698,92.174,94.946,86.698,116.602,134.656,92.009,94.85,86.698,93.852,92.5,3.7,27452.9,26430.8,560.7,361.8,94.5,99.6,5.2,85.95888616,79.96392151,91.79778768,79,91,90,89,91,91.9,80.9304,93.2,86.7,117162.5,68585.5,48577,621985.5,2166741.1,1.8,1.87,1.746,1.875,2.11,2.49,2.115,1.75,8.025,1091.27,176.1336837,904.5,1219.27,1690.39,897.27,1171.66,94.89,88.737,95.117,93.365,96.336,100.349,97.559,90.343,101.36,100.8,99.83,100.85,97.11,102.87,120.17,85.85,99.35,96.27,100.36,2114.8,711.39,2.4,59.27,0.744,237.001,3.06,2.2,83.7,86,12.59
15-Jun,105.215,108.26,85.926,87.616,94.444,90.951,106.568,109.05,87.19,93.5,96.112,89.289,93.655,96.299,89.289,120.754,137.032,93.498,96.202,89.289,95.797,92.5,3.8,27487.8,26440.1,619.2,322.2,101,106.2,5.2,86.28370863,80.34818465,92.05704965,77,86,90,89,91,93.5,82.7129,92.8,90.2,119447.5,69520.6,49926.8,630546.3,2179561.1,1.7,1.73,1.63,1.773,2.04,2.468,2.012,1.5,7.923,1112.2,179.3468674,898.97,1247.15,1730.85,900.07,1193.8,94.909,88.473,95.117,93.244,96.336,101.089,97.598,90.118,104.11,101.16,99.91,101.43,98.93,104.84,118.24,86.63,100.4,97.83,101.53,2074.2,742.27,2.5,59.82,0.838,237.657,3.01,2.36,83.9,86.2,14.45
15-Jul,105.108,107.819,84.576,87.25,94.068,91.521,103.148,110.056,87.395,92.806,95.533,89.683,92.687,95.719,89.683,123.189,133.204,92.591,95.623,89.683,95.067,92.129,3.7,27535.6,26537.5,572.8,304.3,116.1,120.9,4.9,86.52737479,80.63062923,92.25952196,67,77,83,82,93,92.8,82.7423,93.8,86.7,124165,70657.3,53507.7,645975.4,2200510.9,1.65,1.7,1.597,1.777,2.048,2.45,2.001,1.5,7.919,1143.22,184.6752117,927.48,1257.72,1779.08,891.31,1199.3,95.08,88.244,95.165,93.132,96.297,102.279,97.657,90.045,104.43,100.86,100.28,101.2,100,98.17,111.09,87.49,101.28,102.37,102.06,2030.16,725.06,2.6,50.9,0.853,238.034,2.96,2.32,84.1,86.5,13.54
15-Aug,108.804,113.767,87.174,87.625,95.009,92.116,107.655,116.425,86.902,94.859,99.2,90.955,94.91,99.587,90.955,125.868,139.673,94.798,99.486,90.955,95.162,91.851,3.7,27293.5,26368.7,502.2,302.6,114.1,120,5.9,86.75817316,80.89471909,92.45492473,70,79,87,87,93,94.9,86.3702,94.6,89,121453.5,71783.5,49670,653105.9,2218660.3,1.64,1.7,1.582,1.735,1.946,2.308,1.98,1.5,7.909,1179.1,185.8783366,958.3,1312.92,1838.65,896.8,1218.36,95.213,88.825,95.27,93.617,96.326,101.629,97.725,90.488,101.04,100.31,100.65,100.38,101.91,93.54,98.4,91.74,102.59,104.49,102.67,1941.49,687.11,2.5,42.87,0.726,238.033,2.94,2.17,84.4,86.8,19.75
15-Sep,104.575,109.912,82.479,91.985,97.175,93.65,106.722,112.626,85.531,95.921,98.814,91.021,96.139,99.007,91.021,128.935,138.617,96.028,98.907,91.021,97.586,94.724,3.5,27354.7,26487.4,487.7,267.7,106.8,111.9,5.1,87.04133985,81.20728893,92.70655289,72,81,87,86,92,95.9,91.4661,94.9,91.8,125527.9,72309.8,53218.2,665691.1,2230000.7,1.6,1.69,1.553,1.651,1.846,2.216,1.946,1.5,7.872,1184.76,185.9930137,985.71,1331.28,1819.45,894.06,1219.3,94.966,88.649,95.642,93.216,96.105,99.939,97.871,90.1,95.13,99.51,100.51,99.09,101.6,93.8,94.76,93.9,102.21,106.19,101.87,1962.81,678.48,2.5,45.48,0.663,237.498,2.92,2.17,84.9,87.1,20.48
15-Oct,105.839,110.793,82.16,89.891,95.386,92.513,107.407,114.749,84.246,95.382,99.104,90.378,95.789,99.393,90.378,117.83,129.904,95.704,99.293,90.378,93.921,92.778,3.5,27358.4,26518.7,468.6,255.4,113.6,115.7,2,87.32672346,81.54942751,92.93225432,72,82,86,85,93,95.4,86.4631,95.3,88.3,125329.5,74275.9,51053.5,669737.7,2232432,1.58,1.7,1.546,1.627,1.784,2.088,1.962,1.5,7.894,1148.18,180.0171715,955.92,1288.92,1758.82,877.42,1184.83,94.966,87.769,95.279,93.179,96.374,99.569,97.881,90.262,90.89,98.11,99.72,97.44,97.64,89.62,91.94,92.44,99.09,100.54,97.99,2029.47,683.63,2.5,46.22,0.542,237.733,2.9,2.07,85.2,87.4,14.22
15-Nov,104.296,107.709,78.047,89.154,94.256,92.248,107.689,112.626,83.798,94.536,97.946,89.423,94.862,98.33,89.423,117.617,119.738,94.766,98.231,89.423,92.951,90.739,3.6,27298.2,26469.4,432.5,284.4,107.6,111.9,4.4,87.59675618,81.85255209,93.16714779,72,83,87,86,93,94.5,85.2038,94.9,91.6,128495.5,74680.7,53814.8,677629.2,2242848.2,1.59,1.74,1.631,1.752,1.945,2.254,2.118,1.5,8.064,1151.97,181.2484959,940.34,1238.07,1752.16,868.67,1142.66,94.786,86.607,96.347,93.543,96.288,98.909,97.9,90.614,90.76,97.5,99.85,96.88,97,89.86,83.77,91.69,98.38,99.37,96.91,1991.97,688.38,2.5,42.44,0.623,238.017,3.04,2.26,85.4,87.6,14.37
15-Dec,101.417,106.167,81.09,89.181,94.915,91.681,105.193,110.279,79.843,93.54,96.981,88.161,93.615,97.363,88.161,122.657,140.465,93.517,97.265,88.161,89.763,88.978,3.5,26965.2,26097.8,491.9,279.6,90.9,95.9,5,87.72936783,82.01494911,93.26860706,70,81,86,85,95,93.5,91.5019,96,91.2,128696,75355.6,53340.5,690772.4,2246070.1,1.67,1.9,1.635,1.719,1.902,2.181,2.143,1.5,8.085,1172.24,181.4124743,962.5,1275.34,1758.07,856.66,1177.75,95.07,87.998,96.633,93.915,96.297,98.369,97.969,90.497,88.5,97.23,100.22,96.42,97.65,90.63,71.53,85.95,99.21,100.73,96.98,1961.31,682.35,2.5,37.19,0.546,237.761,3.12,2.24,85.4,87.8,14.18
16-Jan,102.709,104.405,83.472,87.084,93.032,94.274,103.567,108.939,86.898,93.83,96.016,91.446,93.503,96.009,91.446,118.934,128.319,93.457,95.913,91.446,92.98,95.002,3.4,26630.8,25646.3,599.9,281.2,99.2,103.5,4.3,87.76786828,82.04542634,93.3152099,69,77,83,83,91,93.8,89.2095,94.5,88.7,130525.6,76837.2,53688.4,699767.3,2261356.4,1.67,1.83,1.587,1.628,1.772,2.025,2.091,1.5,8.033,1201.67,183.0809565,1017.44,1306.27,1731.99,845.06,1194.8,95.232,88.711,96.023,94.074,97.251,97.669,98.378,92.88,84.15,96.71,100.59,95.56,99.72,87.91,56.4,81.97,99.92,105.96,97.35,1912.06,682.8,2.5,31.68,0.438,237.652,3.1,2.09,85.5,88.1,17.93
16-Feb,102.604,107.709,80.269,88.408,95.386,96.249,105.085,111.173,87.267,95.054,97.174,92.47,94.701,97.17,92.47,120.304,133.204,94.655,97.072,92.47,94.435,97.041,3.9,26924.7,25615.3,922.6,268.9,114,117.8,3.8,87.76819584,82.04426842,93.31706383,67,79,84,83,94,95.1,89.3323,95.6,90.1,130519.2,77847.3,52671.9,708014,2285313.5,1.64,1.76,1.469,1.474,1.586,1.826,1.95,1.5,7.901,1217.35,185.682323,1060.15,1348.77,1740.18,882.3,1223.96,95.64,91.062,96.757,94.41,97.203,96.15,98.603,93.205,77.44,96.43,101.16,94.7,100.14,88.79,61.41,80.37,101.02,107.14,98.11,1916.66,651.62,2.5,30.32,0.357,237.336,2.99,1.78,85.5,88.4,17.56
16-Mar,103.458,106.278,81.387,87.959,96.045,96.442,110.982,115.196,89.022,95.782,98.428,92.569,95.903,98.523,92.569,121.671,132.28,95.893,98.424,92.569,94.078,95.466,3.8,27133,25980,734.3,303.7,108.9,115.1,6.2,87.76437098,82.04194199,93.31171272,67,80,86,83,93,95.8,92.9507,95.9,90.4,133248.7,78463.2,54785.5,713861.2,2294544.7,1.63,1.71,1.507,1.498,1.611,1.854,1.979,1.5,7.952,1188.21,181.7052338,1051.68,1322.22,1692.7,898.37,1209.61,95.393,90.023,96.757,94.838,97.193,95.7,98.925,93.467,77.38,95.91,100.63,94.23,97.2,86.43,73.16,73.82,99.82,110.3,96.91,1995.85,688.38,2.5,37.55,0.347,238.08,2.97,1.89,85.8,88.6,12.33
16-Apr,95.676,100.22,79.601,90.216,96.61,94.276,106.804,112.961,88.247,94.502,97.656,91.248,94.901,97.943,91.248,121.909,134.788,94.721,97.844,91.248,92.843,92.593,3.6,27398.3,26324.7,587,391.8,88,94.8,6.8,87.78000747,82.07073548,93.31376132,71,81,86,84,93,94.5,91.449,96.3,89,135158.8,79412.6,55746.2,720818.5,2299081.3,1.61,1.7,1.493,1.468,1.569,1.81,1.94,1.5,7.936,1147.51,176.9451723,1044.3,1300.69,1641.17,893.35,1189.46,95.573,90.067,96.795,94.428,97.251,96.11,99.042,93.476,80.12,95.74,100.35,94.32,95.96,81.07,78.18,64.39,97.78,108.73,94.07,1994.15,699.77,2.5,40.75,0.317,238.992,2.93,1.81,86.1,88.8,12.42
16-May,103.668,109.141,80.923,93.733,98.964,93.372,108.179,112.737,89.919,97.046,99.104,91.255,97.58,99.49,91.255,121.038,134.656,97.516,99.39,91.255,94.809,92.685,3.6,27616.5,26612.9,471.4,429.3,94.4,102.9,8.5,87.8096394,82.14389529,93.29855687,74,85,88,85,92,97,94.105,96.4,90.4,136495.1,80244.5,56250.5,722544.4,2312801.2,1.58,1.68,1.48,1.455,1.551,1.787,1.91,1.5,7.94,1171.51,179.8669765,1074.8,1323.56,1702.37,905.89,1196.42,95.63,89.133,97.243,94.214,97.27,96.89,99.168,93.71,82.64,96.63,100.48,95.35,100.1,85.94,90.6,57.76,100.19,112.17,96.32,1983.4,698.45,2.4,46.71,0.307,239.557,2.89,1.81,86.4,89,11.81
16-Jun,100.744,105.507,80.604,93.785,98.023,93.537,106.538,109.832,85.651,96.507,98.525,90.181,97.032,98.91,90.181,119.731,134.392,96.973,98.81,90.181,94.127,92.407,3.5,27720.4,26718.2,523,366,105.4,113.2,7.8,87.84505568,82.26359921,93.24737084,74,81,87,84,93,96.5,98.0087,96.9,91.7,137159.5,81265.9,55893.7,730637.8,2334256.2,1.43,1.56,1.361,1.334,1.406,1.617,1.789,1.25,7.833,1170.5,176.8345556,1107.53,1315.43,1667.49,908.06,1206.85,95.611,87.742,97.252,94.904,97.289,98.519,99.188,93.674,85.04,97.05,100.45,95.95,101.51,85.44,94.69,56.47,100.54,113.1,96.45,1970.35,675.09,2.4,48.76,0.256,240.222,2.77,1.64,86.7,89.2,13.9
16-Jul,102.593,105.837,80.778,93.292,99.341,91.438,102.768,106.145,91.263,96.036,98.332,89.83,96.285,98.62,89.83,125.799,138.881,96.183,98.52,89.83,94.765,92.778,3.6,27737.4,26764.6,518.7,283.2,161.3,170.9,9.6,87.88371674,82.37726048,93.20909642,72,81,86,84,92,96,97.595,96.8,86.9,137541.9,82116,55425.9,735172.2,2352245.1,1.36,1.52,1.26,1.218,1.246,1.401,1.65,1.25,7.721,1144.09,170.8622225,1099.08,1265.39,1504.52,877.97,1164.55,95.431,87.734,96.557,95.025,97.27,99.179,99.237,93.376,84.82,96.7,99.96,95.62,98.51,85.03,85.02,57.95,98.21,111.03,94.41,2016.19,706.24,2.4,44.65,0.141,240.101,2.66,1.5,87.1,89.3,12.6
16-Aug,100.935,106.828,74.408,91.469,96.798,92.02,99.209,104.581,86.804,94.747,97.56,89.2,94.46,97.75,89.2,128.878,140.069,94.36,97.651,89.2,97.996,94.539,4,27689.7,26696,544.5,268.7,168.9,180.5,11.6,87.94553356,82.508546,93.19969009,71,81,86,86,91,94.7,100.0589,97.6,90.4,139491.4,82776.1,56715.3,738120.9,2377323.1,1.35,1.51,1.265,1.238,1.264,1.417,1.645,1.25,7.725,1111.68,167.0060809,1097.61,1245.95,1458.21,855.24,1145.39,95.677,88.94,97.252,94.988,97.193,98.669,99.276,93.358,82.41,96.03,100.08,94.78,96.95,80.3,84.77,60.62,96.04,117.63,92.65,2034.65,663.69,2.4,44.72,0.152,240.545,2.7,1.56,87.5,89.5,11.56
16-Sep,102.518,108.811,72.16,92.688,97.646,91.97,99.828,103.128,89.852,94.917,97.946,89.46,94.71,97.943,89.46,125.39,131.62,94.6,97.844,89.46,100.118,97.319,4,27679.4,26696.8,512.4,304.3,152.6,165.9,13.2,88.01452177,82.62934354,93.21561878,75,83,87,86,92,94.9,101.0111,97.3,90.8,141065.1,83740.8,57324.3,751408.5,2383040.5,1.34,1.5,1.322,1.312,1.353,1.512,1.704,1.25,7.791,1107.49,166.1669777,1087.49,1241.09,1456.14,847.18,1136.79,96.247,93.271,97.272,95.211,97.231,98.259,99.403,93.467,84.55,95.98,100.51,94.93,97.63,81.55,83.85,65.6,95.95,107.36,93.42,2043.63,681.21,2.5,45.18,0.19,241.176,2.8,1.63,87.9,89.6,14.11
16-Oct,104.904,108.7,72.042,92.725,97.552,91.355,96.135,99.106,86.234,94.323,97.463,88.671,94.741,97.75,88.671,119.322,128.319,94.652,97.651,88.671,92.895,91.295,3.8,27665.8,26745.6,497.5,296.2,112.2,126.5,14.3,88.16120625,82.84435128,93.29226841,75,82,88,86,93,94.3,101.8506,96.7,90.9,141209,84484,56725,753367.3,2391059.2,1.35,1.5,1.369,1.361,1.412,1.596,1.781,1.25,7.87,1125.28,167.6246711,1084.08,1240.57,1385.04,849.9,1140.11,96.379,91.986,97.357,94.736,97.174,98.299,99.442,93.34,86.19,96.74,100.71,95.77,99.7,111.53,96.29,71.74,97.84,110.91,96.56,2008.19,624.68,2.5,49.78,0.227,241.741,2.89,1.76,88.3,89.9,14.61
